# Gene Family HUMAnN v4.0.0.alpha.1 Adjusted CPMs	ERR526049
UniRef90_D4KLR4|s__Phocaeicola_vulgatus.t__SGB1814	240.6858503284
UniClust90_41633-MMKKCHCL_01897	239.9654059928
UniClust90_41633-MMKKCHCL_01897|unclassified	239.9654059928
UniRef90_A0A0U5NUJ2	239.9216579947
UniRef90_A0A0U5NUJ2|unclassified	239.9216579947
UniRef90_A0A174CL23	239.4789036113
UniRef90_A0A174CL23|s__Phocaeicola_vulgatus.t__SGB1814	239.4789036113
UniRef90_K4LDQ5	238.3706213052
UniRef90_K4LDQ5|unclassified	238.3706213052
UniClust90_53514-MHAAEGJA_00758	237.6300709152
UniClust90_53514-MHAAEGJA_00758|unclassified	237.6300709152
UniRef90_C7GH47	236.6559035598
UniRef90_C7GH47|s__Phocaeicola_vulgatus.t__SGB1814	236.6559035598
UniClust90_5099-IFJGHKCA_01610	235.5462194678
UniClust90_5099-IFJGHKCA_01610|unclassified	235.5462194678
UniRef90_A0A174CSE7	235.1155009893
UniRef90_A0A174CSE7|s__Phocaeicola_vulgatus.t__SGB1814	235.1155009893
UniClust90_14893-CIBMCJFG_01203	235.0812506233
UniClust90_14893-CIBMCJFG_01203|unclassified	235.0812506233
UniRef90_A0A1H0C4R3	234.2812072224
UniRef90_A0A1H0C4R3|unclassified	234.2812072224
UniRef90_A0A367FVW7	233.1733315225
UniRef90_A0A367FVW7|unclassified	233.1733315225
UniClust90_4771-DFPCIOHO_01134	231.5376076320
UniClust90_4771-DFPCIOHO_01134|unclassified	231.5376076320
UniRef90_D4KJY8	230.7222683616
UniRef90_D4KJY8|unclassified	230.7222683616
UniClust90_42083-ACPKOMKP_00833	230.0089055975
UniClust90_42083-ACPKOMKP_00833|unclassified	230.0089055975
UniRef90_G2T2M7	229.1899300854
UniRef90_G2T2M7|s__Phocaeicola_vulgatus.t__SGB1814	229.1899300854
UniRef90_A0A069S8C9	229.1708557803
UniRef90_A0A069S8C9|s__Bacteroides_faecis.t__SGB1860	143.6353805324
UniRef90_A0A069S8C9|s__Parabacteroides_distasonis.t__SGB1934	31.7650081950
UniRef90_A0A069S8C9|s__Bacteroides_uniformis.t__SGB1836	31.1515639128
UniRef90_A0A069S8C9|s__Phocaeicola_vulgatus.t__SGB1814	22.6189031401
UniRef90_A0A0T9AEG2	229.1659731534
UniRef90_A0A0T9AEG2|unclassified	229.1659731534
UniRef90_A0A3D2EH48	228.6372679059
UniRef90_A0A3D2EH48|unclassified	228.6372679059
UniClust90_5285-FFAFICJA_01064	228.0461891016
UniClust90_5285-FFAFICJA_01064|unclassified	228.0461891016
UniClust90_43511-BGOIOEPG_01661	227.2477798066
UniClust90_43511-BGOIOEPG_01661|unclassified	227.2477798066
UniClust90_41679-LAHKDNOH_01910	226.4834636747
UniClust90_41679-LAHKDNOH_01910|unclassified	226.4834636747
UniRef90_B5CSX9	225.8307881784
UniRef90_B5CSX9|unclassified	225.8307881784
UniRef90_UNK1814-JAFAHHKM_01260	225.2456698929
UniRef90_UNK1814-JAFAHHKM_01260|s__Phocaeicola_vulgatus.t__SGB1814	225.2456698929
UniClust90_36741-JLNEKHIL_01648	224.2769618244
UniClust90_36741-JLNEKHIL_01648|unclassified	224.2769618244
UniClust90_4759-GPGHJGKF_00260	222.3332801333
UniClust90_4759-GPGHJGKF_00260|unclassified	222.3332801333
UniClust90_6629-MAMEGABH_00723	221.9934429447
UniClust90_6629-MAMEGABH_00723|unclassified	221.9934429447
UniRef90_UNK4761-KEMDCCND_00262	221.8949971538
UniRef90_UNK4761-KEMDCCND_00262|unclassified	221.8949971538
UniClust90_28657-HAEDFADD_00233	221.7943208829
UniClust90_28657-HAEDFADD_00233|unclassified	221.7943208829
UniRef90_D4KXW4	221.4207074410
UniRef90_D4KXW4|unclassified	221.4207074410
UniRef90_K1TUT4	220.2895507413
UniRef90_K1TUT4|unclassified	220.2895507413
UniRef90_Q0ZS24	219.2233538685
UniRef90_Q0ZS24|unclassified	219.2233538685
UniClust90_4936-JDGLEHGE_00525	216.9172324512
UniClust90_4936-JDGLEHGE_00525|unclassified	216.9172324512
UniRef90_G2SYT0	216.3060078325
UniRef90_G2SYT0|s__Phocaeicola_vulgatus.t__SGB1814	216.3060078325
UniRef90_A0A414F1L8	215.2306266828
UniRef90_A0A414F1L8|s__Phocaeicola_vulgatus.t__SGB1814	59.3327620828
UniRef90_A0A414F1L8|s__Bacteroides_faecis.t__SGB1860	58.0856762289
UniRef90_A0A414F1L8|s__Parabacteroides_distasonis.t__SGB1934	49.1593083330
UniRef90_A0A414F1L8|s__Bacteroides_uniformis.t__SGB1836	48.6528800382
UniClust90_4732-DIHGOPAH_03643	215.2111175636
UniClust90_4732-DIHGOPAH_03643|unclassified	215.2111175636
UniClust90_4914-CMEEFNCK_01841	214.1689772023
UniClust90_4914-CMEEFNCK_01841|unclassified	214.1689772023
UniClust90_14243-HGDKOGOG_00066	213.7647945614
UniClust90_14243-HGDKOGOG_00066|unclassified	213.7647945614
UniClust90_41535-CHHDKLNM_01865	213.5819697406
UniClust90_41535-CHHDKLNM_01865|unclassified	213.5819697406
UniClust90_14857-KMIFDCMO_00954	212.2265354209
UniClust90_14857-KMIFDCMO_00954|unclassified	212.2265354209
UniRef90_UNK72437-IBBCIIHF_01190	211.6789895633
UniRef90_UNK72437-IBBCIIHF_01190|unclassified	211.6789895633
UniRef90_A0A174PMJ1	210.8066377752
UniRef90_A0A174PMJ1|unclassified	210.8066377752
UniRef90_A0A330FCB0	210.1059612307
UniRef90_A0A330FCB0|unclassified	210.1059612307
UniRef90_A0A285PVJ3	208.5420920645
UniRef90_A0A285PVJ3|unclassified	208.5420920645
UniRef90_A0A174BGH2	207.6486324117
UniRef90_A0A174BGH2|s__Phocaeicola_vulgatus.t__SGB1814	207.6486324117
UniClust90_38730-MBDAJEDH_01441	207.4150986139
UniClust90_38730-MBDAJEDH_01441|unclassified	207.4150986139
UniClust90_28623-CIDDAKDC_00477	206.1469943237
UniClust90_28623-CIDDAKDC_00477|unclassified	206.1469943237
UniRef90_C4IL18	204.5784169818
UniRef90_C4IL18|unclassified	204.5784169818
UniRef90_UNK1814-JMNIHLGL_03348	204.5392293870
UniRef90_UNK1814-JMNIHLGL_03348|s__Phocaeicola_vulgatus.t__SGB1814	204.5392293870
UniRef90_A0A330HZM5	204.2823824985
UniRef90_A0A330HZM5|unclassified	204.2823824985
UniRef90_A0A1C6KZK4	203.5573912848
UniRef90_A0A1C6KZK4|unclassified	203.5573912848
UniRef90_UNK4832-APEBBJAD_01757	203.1491860556
UniRef90_UNK4832-APEBBJAD_01757|unclassified	203.1491860556
UniRef90_D4KTQ0	202.0076159336
UniRef90_D4KTQ0|unclassified	202.0076159336
UniRef90_K1UCX4	201.6755233942
UniRef90_K1UCX4|unclassified	201.6755233942
UniClust90_15272-NGBKFHFC_01274	200.1464954693
UniClust90_15272-NGBKFHFC_01274|unclassified	200.1464954693
UniClust90_61755-EINBMMIE_00514	197.7176677586
UniClust90_61755-EINBMMIE_00514|unclassified	197.7176677586
UniRef90_UNK15074-AJGKGBCP_01628	195.5915899907
UniRef90_UNK15074-AJGKGBCP_01628|unclassified	195.5915899907
UniRef90_I9FKA5	195.2623917890
UniRef90_I9FKA5|s__Phocaeicola_vulgatus.t__SGB1814	195.2623917890
UniRef90_K1V2D9	194.9492760073
UniRef90_K1V2D9|unclassified	194.9492760073
UniRef90_A0A3D2K640	194.5149192373
UniRef90_A0A3D2K640|unclassified	194.5149192373
UniClust90_37021-ODIBDEHE_00257	193.6266527120
UniClust90_37021-ODIBDEHE_00257|unclassified	193.6266527120
UniClust90_41470-JLIMKNEI_02351	191.1065100910
UniClust90_41470-JLIMKNEI_02351|unclassified	191.1065100910
UniRef90_A0A3B8VBU0	190.3234000091
UniRef90_A0A3B8VBU0|unclassified	190.3234000091
UniRef90_B7AU45	189.0619345768
UniRef90_B7AU45|unclassified	189.0619345768
UniRef90_S3CF99	188.9626775497
UniRef90_S3CF99|s__Sutterella_wadsworthensis.t__SGB9283	188.9626775497
UniRef90_A0A1C6IRH0	188.2712388462
UniRef90_A0A1C6IRH0|unclassified	188.2712388462
UniRef90_A0A3D0PT58	188.2077713698
UniRef90_A0A3D0PT58|unclassified	188.2077713698
UniClust90_106017-ODLIIELB_00544	187.0002251342
UniClust90_106017-ODLIIELB_00544|unclassified	187.0002251342
UniRef90_C8U7S7	186.7498510714
UniRef90_C8U7S7|s__Escherichia_coli.t__SGB10068	186.7498510714
UniRef90_A0A2A5TC22	186.3631953565
UniRef90_A0A2A5TC22|unclassified	186.3631953565
UniRef90_A0A015V1Z3	185.9684560081
UniRef90_A0A015V1Z3|s__Bacteroides_uniformis.t__SGB1836	179.5376472008
UniRef90_A0A015V1Z3|s__Phocaeicola_vulgatus.t__SGB1814	6.4308088074
UniRef90_K1SKC1	185.9126199155
UniRef90_K1SKC1|unclassified	185.9126199155
UniClust90_28688-LBFNBEMN_01339	185.5758925397
UniClust90_28688-LBFNBEMN_01339|unclassified	185.5758925397
UniClust90_4968-LABNFPHG_00504	184.5862744763
UniClust90_4968-LABNFPHG_00504|unclassified	184.5862744763
UniClust90_4706-DHCHHCGC_01205	182.5798869671
UniClust90_4706-DHCHHCGC_01205|unclassified	182.5798869671
UniRef90_A0A174PY25	182.3367919469
UniRef90_A0A174PY25|s__Phocaeicola_vulgatus.t__SGB1814	182.3367919469
UniClust90_4893-IIFBPHPK_01450	181.9547991114
UniClust90_4893-IIFBPHPK_01450|unclassified	181.9547991114
UniClust90_37000-PKMPGLCJ_01103	181.9502049321
UniClust90_37000-PKMPGLCJ_01103|unclassified	181.9502049321
UniClust90_30012-IBCKFGDN_03053	179.4199005908
UniClust90_30012-IBCKFGDN_03053|unclassified	179.4199005908
UniRef90_A0A0E9EQI9	177.4863937155
UniRef90_A0A0E9EQI9|unclassified	177.4863937155
UniRef90_C0FPL9	177.1198097387
UniRef90_C0FPL9|unclassified	177.1198097387
UniRef90_A0A0M6WSG6	176.8850481108
UniRef90_A0A0M6WSG6|unclassified	176.8850481108
UniClust90_29220-NBHNLEBE_04731	176.2132129959
UniClust90_29220-NBHNLEBE_04731|unclassified	176.2132129959
UniRef90_D4IXS6	176.0850372981
UniRef90_D4IXS6|unclassified	176.0850372981
UniRef90_F3PNT2	174.6346063389
UniRef90_F3PNT2|s__Bacteroides_faecis.t__SGB1860	98.0808273523
UniRef90_F3PNT2|s__Phocaeicola_vulgatus.t__SGB1814	76.5537789866
UniClust90_41724-LOGEGFKK_02848	172.7231755618
UniClust90_41724-LOGEGFKK_02848|unclassified	172.7231755618
UniRef90_A0A0T9AFF5	172.4783476958
UniRef90_A0A0T9AFF5|unclassified	172.4783476958
UniRef90_A0A1C5V7U2	172.4773675169
UniRef90_A0A1C5V7U2|unclassified	172.4773675169
UniRef90_A0A174QYX1	171.8999906551
UniRef90_A0A174QYX1|s__Bacteroides_caccae.t__SGB1877	171.8999906551
UniRef90_UNK4422-ECKKGLJB_00385	171.7788626594
UniRef90_UNK4422-ECKKGLJB_00385|unclassified	171.7788626594
UniClust90_4758-FIMBHCJP_00084	171.6702791935
UniClust90_4758-FIMBHCJP_00084|unclassified	171.6702791935
UniRef90_J9FV23	171.3180098641
UniRef90_J9FV23|unclassified	171.3180098641
UniRef90_A0A354CJA8	170.9623291735
UniRef90_A0A354CJA8|unclassified	170.9623291735
UniClust90_4036-LIGDNMJG_02276	170.8823617352
UniClust90_4036-LIGDNMJG_02276|unclassified	170.8823617352
UniRef90_C7G973	170.5131410629
UniRef90_C7G973|unclassified	170.5131410629
UniRef90_UPI00047DEDE8	169.7740973505
UniRef90_UPI00047DEDE8|unclassified	169.7740973505
UniClust90_15413-HGDHFFIO_02130	169.7205295537
UniClust90_15413-HGDHFFIO_02130|unclassified	169.7205295537
UniClust90_5057-NHLDHDFG_01456	167.1369738835
UniClust90_5057-NHLDHDFG_01456|unclassified	167.1369738835
UniRef90_C7G7B3	166.4821259606
UniRef90_C7G7B3|unclassified	166.4821259606
UniClust90_4924-IGCKBGMH_02520	166.3750397081
UniClust90_4924-IGCKBGMH_02520|unclassified	166.3750397081
UniRef90_D4J287	165.9990670235
UniRef90_D4J287|unclassified	165.9990670235
UniRef90_J9FYM2	165.9397920279
UniRef90_J9FYM2|unclassified	165.9397920279
UniRef90_UNK41588-HAIHKACG_00581	165.1078940077
UniRef90_UNK41588-HAIHKACG_00581|unclassified	165.1078940077
UniRef90_B6FNI9	164.6183086923
UniRef90_B6FNI9|s__Bifidobacterium_longum.t__SGB17248	164.6183086923
UniRef90_A0A3A8ZC70	163.2575146420
UniRef90_A0A3A8ZC70|unclassified	163.2575146420
UniClust90_4995-KIENAPLD_00570	163.2051274894
UniClust90_4995-KIENAPLD_00570|unclassified	163.2051274894
UniRef90_S3BTB6	162.8514275735
UniRef90_S3BTB6|s__Sutterella_wadsworthensis.t__SGB9283	162.8514275735
UniClust90_37068-CJAADMIJ_00968	162.8097143012
UniClust90_37068-CJAADMIJ_00968|unclassified	162.8097143012
UniClust90_41515-KAAAFFBO_02460	161.9323355720
UniClust90_41515-KAAAFFBO_02460|unclassified	161.9323355720
UniRef90_K1T6J2	161.3116672104
UniRef90_K1T6J2|unclassified	161.3116672104
UniRef90_B2RLW9	161.3007949046
UniRef90_B2RLW9|s__Bacteroides_uniformis.t__SGB1836	152.7226246090
UniRef90_B2RLW9|s__Phocaeicola_vulgatus.t__SGB1814	4.7904067885
UniRef90_B2RLW9|s__Bacteroides_faecis.t__SGB1860	3.7877635072
UniRef90_K4LKL8	161.1926895151
UniRef90_K4LKL8|unclassified	161.1926895151
UniRef90_A0A1C5SX72	161.1452775837
UniRef90_A0A1C5SX72|unclassified	161.1452775837
UniClust90_15108-MKEMNCAH_01098	161.1308812263
UniClust90_15108-MKEMNCAH_01098|unclassified	161.1308812263
UniClust90_4228-MCICABKA_01297	160.9147662748
UniClust90_4228-MCICABKA_01297|unclassified	160.9147662748
UniRef90_A0A380K858	160.4208152887
UniRef90_A0A380K858|unclassified	160.4208152887
UniRef90_K1TYT4	160.3710873491
UniRef90_K1TYT4|unclassified	160.3710873491
UniRef90_A0A174XPV5	160.3350679321
UniRef90_A0A174XPV5|unclassified	160.3350679321
UniRef90_F7JJI5	159.5889850822
UniRef90_F7JJI5|unclassified	159.5889850822
UniRef90_I9R1R5	159.0860673010
UniRef90_I9R1R5|s__Phocaeicola_vulgatus.t__SGB1814	159.0860673010
UniRef90_A0A174AZC8	158.8992117614
UniRef90_A0A174AZC8|unclassified	158.8992117614
UniRef90_A0A353MRS9	158.4842454434
UniRef90_A0A353MRS9|unclassified	158.4842454434
UniClust90_14243-IDKMCBNC_01074	158.4150653786
UniClust90_14243-IDKMCBNC_01074|unclassified	158.4150653786
UniClust90_4481-BBPJNHCA_02374	157.6665940331
UniClust90_4481-BBPJNHCA_02374|unclassified	157.6665940331
UniRef90_A0A174W657	157.3771121909
UniRef90_A0A174W657|unclassified	157.3771121909
UniRef90_UNK4950-LBBFPCNL_00698	157.0079028612
UniRef90_UNK4950-LBBFPCNL_00698|unclassified	157.0079028612
UniRef90_A0A174KFX8	156.7053455442
UniRef90_A0A174KFX8|unclassified	156.7053455442
UniRef90_A0A1V5Q3D9	156.3760170266
UniRef90_A0A1V5Q3D9|unclassified	156.3760170266
UniClust90_37516-NLFMANJJ_00878	156.0745796374
UniClust90_37516-NLFMANJJ_00878|unclassified	156.0745796374
UniRef90_Q895M1	155.6357678657
UniRef90_Q895M1|unclassified	155.6357678657
UniClust90_41510-BPHIGPKH_00822	155.5164868661
UniClust90_41510-BPHIGPKH_00822|unclassified	155.5164868661
UniRef90_A0A174NPN6	155.3356168177
UniRef90_A0A174NPN6|unclassified	155.3356168177
UniRef90_E0S0Z9	155.3156020779
UniRef90_E0S0Z9|unclassified	155.3156020779
UniClust90_5068-ENOIPKMI_01711	154.7747900969
UniClust90_5068-ENOIPKMI_01711|unclassified	154.7747900969
UniClust90_42083-ACPKOMKP_02531	154.2338401464
UniClust90_42083-ACPKOMKP_02531|unclassified	154.2338401464
UniClust90_60597-PNFPLBFA_02378	153.9351359016
UniClust90_60597-PNFPLBFA_02378|unclassified	153.9351359016
UniRef90_A0A373XNF3	153.8407165230
UniRef90_A0A373XNF3|unclassified	153.8407165230
UniRef90_A0A173UV04	153.5441452315
UniRef90_A0A173UV04|unclassified	153.5441452315
UniRef90_UNK36997-HABJADAI_02294	153.4344242499
UniRef90_UNK36997-HABJADAI_02294|unclassified	153.4344242499
UniClust90_3928-AAFMHJMG_01499	153.2928632632
UniClust90_3928-AAFMHJMG_01499|unclassified	153.2928632632
UniRef90_G4L1N8	153.2274974646
UniRef90_G4L1N8|unclassified	153.2274974646
UniRef90_R5KK50	153.1734951123
UniRef90_R5KK50|unclassified	153.1734951123
UniClust90_41434-CCHJKBKK_01677	152.6286467894
UniClust90_41434-CCHJKBKK_01677|unclassified	152.6286467894
UniClust90_4733-FKOAHAON_01687	152.4576453671
UniClust90_4733-FKOAHAON_01687|unclassified	152.4576453671
UniRef90_A0A173T0U6	152.2297243229
UniRef90_A0A173T0U6|unclassified	152.2297243229
UniClust90_94886-DPLBADJC_01546	151.9951316465
UniClust90_94886-DPLBADJC_01546|unclassified	151.9951316465
UniClust90_69346-BBKHDCNP_01898	151.9696729796
UniClust90_69346-BBKHDCNP_01898|unclassified	151.9696729796
UniRef90_R6VCJ4	151.4568004285
UniRef90_R6VCJ4|unclassified	151.4568004285
UniRef90_A0A0F0CNF7	151.4212364347
UniRef90_A0A0F0CNF7|unclassified	151.4212364347
UniClust90_41470-FPKBNJNH_00707	151.1595069685
UniClust90_41470-FPKBNJNH_00707|unclassified	151.1595069685
UniRef90_A0A3N5M649	151.1175666830
UniRef90_A0A3N5M649|unclassified	151.1175666830
UniClust90_37124-BKIKCAIA_02036	151.0658504154
UniClust90_37124-BKIKCAIA_02036|unclassified	151.0658504154
UniClust90_43248-FOGADEEI_01093	149.2831185648
UniClust90_43248-FOGADEEI_01093|unclassified	149.2831185648
UniClust90_41545-FHAFDKNG_03756	149.1252427422
UniClust90_41545-FHAFDKNG_03756|unclassified	149.1252427422
UniRef90_A0A087AWS4	148.6859643805
UniRef90_A0A087AWS4|unclassified	148.6859643805
UniClust90_3991-OIDAMDPF_01433	148.6657979767
UniClust90_3991-OIDAMDPF_01433|unclassified	148.6657979767
UniRef90_A0A173VCS2	148.5633060277
UniRef90_A0A173VCS2|unclassified	148.5633060277
UniClust90_41437-LEGIDJOO_00831	148.5348573343
UniClust90_41437-LEGIDJOO_00831|unclassified	148.5348573343
UniClust90_14110-IHKKKGPA_01447	148.0491523954
UniClust90_14110-IHKKKGPA_01447|unclassified	148.0491523954
UniClust90_42343-MNLAPBNM_01466	147.3502948617
UniClust90_42343-MNLAPBNM_01466|unclassified	147.3502948617
UniRef90_A0A358PJY9	147.2149609214
UniRef90_A0A358PJY9|unclassified	147.2149609214
UniRef90_A0A069SFN5	147.0417241355
UniRef90_A0A069SFN5|s__Bacteroides_faecis.t__SGB1860	76.9609597887
UniRef90_A0A069SFN5|s__Bacteroides_uniformis.t__SGB1836	35.3525966856
UniRef90_A0A069SFN5|s__Phocaeicola_vulgatus.t__SGB1814	34.7281676612
UniRef90_UNK4948-FLGDFOHK_00553	146.7995736693
UniRef90_UNK4948-FLGDFOHK_00553|unclassified	146.7995736693
UniClust90_8545-MNEIEIAB_01895	146.4121802618
UniClust90_8545-MNEIEIAB_01895|unclassified	146.4121802618
UniRef90_A0A3E2UMA7	146.3885931124
UniRef90_A0A3E2UMA7|unclassified	146.3885931124
UniClust90_29321-IECKAIAG_01944	146.3177345303
UniClust90_29321-IECKAIAG_01944|unclassified	146.3177345303
UniRef90_B0NKN9	146.2526483256
UniRef90_B0NKN9|s__Bacteroides_uniformis.t__SGB1836	94.0311024054
UniRef90_B0NKN9|s__Phocaeicola_vulgatus.t__SGB1814	52.2215459202
UniRef90_UNK4675-PKBKJIGL_00151	146.1255793265
UniRef90_UNK4675-PKBKJIGL_00151|unclassified	146.1255793265
UniClust90_94764-CCPPDGAK_02003	145.9854008312
UniClust90_94764-CCPPDGAK_02003|unclassified	145.9854008312
UniRef90_A0A1H3WAT9	145.5769947038
UniRef90_A0A1H3WAT9|unclassified	145.5769947038
UniRef90_A0A354D3Y4	145.2464782863
UniRef90_A0A354D3Y4|unclassified	145.2464782863
UniRef90_A0A3R5ZG63	145.0502208469
UniRef90_A0A3R5ZG63|unclassified	145.0502208469
UniClust90_15015-MNJMAEDN_00333	144.7732076274
UniClust90_15015-MNJMAEDN_00333|unclassified	144.7732076274
UniRef90_A0A174WG24	143.9587584822
UniRef90_A0A174WG24|unclassified	143.9587584822
UniRef90_A0A173ZFZ9	143.8363536317
UniRef90_A0A173ZFZ9|unclassified	143.8363536317
UniRef90_A0A1C6KT67	143.3221839457
UniRef90_A0A1C6KT67|unclassified	143.3221839457
UniClust90_29369-JDFAMBAJ_01080	143.0210649053
UniClust90_29369-JDFAMBAJ_01080|unclassified	143.0210649053
UniRef90_C7GAG3	142.5871515390
